Area,Location,No. of Bedrooms,City,CarParking,SwimmingPool,24X7Security,LiftAvailable,ClubHouse,Price
1350,143,2.0,0,0.0,0.0,0.0,1.0,0.0,6736000.0
1650,143,3.0,0,0.0,0.0,0.0,1.0,0.0,8233000.0
1355,143,3.0,0,0.0,0.0,0.0,1.0,0.0,6761000.0
1325,143,2.0,0,0.0,0.0,0.0,1.0,0.0,6611000.0
1260,143,2.0,0,0.0,0.0,0.0,1.0,0.0,6287000.0
1290,143,2.0,0,0.0,0.0,0.0,1.0,0.0,6437000.0
1225,143,2.0,0,0.0,0.0,0.0,1.0,0.0,6112000.0
1300,143,2.0,0,0.0,0.0,0.0,1.0,0.0,6487000.0
1152,281,2.0,0,1.0,1.0,1.0,1.0,1.0,4722000.0
1119,281,2.0,0,1.0,1.0,1.0,1.0,1.0,4586000.0
1118,281,2.0,0,1.0,1.0,1.0,1.0,1.0,4582000.0
1656,281,3.0,0,1.0,1.0,1.0,1.0,1.0,6787000.0
1629,213,3.0,0,1.0,1.0,1.0,1.0,1.0,9319000.0
1237,213,2.0,0,1.0,1.0,1.0,1.0,1.0,6892000.0
1275,92,2.0,0,1.0,1.0,1.0,0.0,1.0,9277000.0
1615,92,3.0,0,1.0,1.0,1.0,0.0,1.0,11600000.0
1515,92,3.0,0,1.0,1.0,1.0,0.0,1.0,10900000.0
1455,92,3.0,0,1.0,1.0,1.0,0.0,1.0,10500000.0
1360,92,3.0,0,1.0,1.0,1.0,0.0,1.0,9859000.0
1409,501,3.0,0,1.0,0.0,1.0,1.0,0.0,6973999.000000001
1139,501,2.0,0,1.0,0.0,1.0,1.0,0.0,5705000.0
1154,501,2.0,0,1.0,0.0,1.0,1.0,0.0,5772000.0
1353,501,3.0,0,1.0,0.0,1.0,1.0,0.0,6720999.000000001
1362,501,3.0,0,1.0,0.0,1.0,1.0,0.0,6761000.0
1133,501,2.0,0,1.0,0.0,1.0,1.0,0.0,5677000.0
1068,501,2.0,0,1.0,0.0,1.0,1.0,0.0,5384000.0
1540,710,3.0,0,0.0,1.0,1.0,0.0,0.0,9141000.0
1610,710,3.0,0,0.0,1.0,1.0,0.0,0.0,9522000.0
1715,710,3.0,0,0.0,1.0,1.0,0.0,0.0,10000000.0
1195,710,2.0,0,0.0,1.0,1.0,0.0,0.0,7211000.0
1425,710,3.0,0,0.0,1.0,1.0,0.0,0.0,8514000.0
1760,710,3.0,0,0.0,1.0,1.0,0.0,0.0,10300000.0
1300,710,2.0,0,0.0,1.0,1.0,0.0,0.0,7783000.0
1235,710,2.0,0,0.0,1.0,1.0,0.0,0.0,7429000.000000001
1305,710,2.0,0,0.0,1.0,1.0,0.0,0.0,7809999.000000001
660,164,1.0,0,1.0,1.0,1.0,0.0,1.0,3506000.0
1120,164,2.0,0,1.0,1.0,1.0,0.0,1.0,6250000.0
1120,164,2.0,0,1.0,1.0,1.0,0.0,1.0,6250000.0
715,164,1.0,0,1.0,1.0,1.0,0.0,1.0,3797999.0
715,164,1.0,0,1.0,1.0,1.0,0.0,1.0,3797999.0
910,164,2.0,0,1.0,1.0,1.0,0.0,1.0,5034000.0
910,164,2.0,0,1.0,1.0,1.0,0.0,1.0,5034000.0
1430,164,3.0,0,1.0,1.0,1.0,0.0,1.0,7897000.0
1430,164,3.0,0,1.0,1.0,1.0,0.0,1.0,7897000.0
965,164,2.0,0,1.0,1.0,1.0,0.0,1.0,5327000.0
965,164,2.0,0,1.0,1.0,1.0,0.0,1.0,5327000.0
1500,164,3.0,0,1.0,1.0,1.0,0.0,1.0,8269000.0
1500,164,3.0,0,1.0,1.0,1.0,0.0,1.0,8269000.0
1065,164,2.0,0,1.0,1.0,1.0,0.0,1.0,5958000.0
1065,164,2.0,0,1.0,1.0,1.0,0.0,1.0,5958000.0
1273,715,2.0,0,1.0,1.0,1.0,1.0,1.0,6900000.0
1705,715,3.0,0,1.0,1.0,1.0,1.0,1.0,9700000.0
1304,715,2.0,0,1.0,1.0,1.0,1.0,1.0,7300000.0
1700,31,3.0,0,1.0,1.0,1.0,1.0,1.0,9180000.0
1277,104,2.0,0,0.0,1.0,1.0,1.0,1.0,6986000.0
1111,104,2.0,0,0.0,1.0,1.0,1.0,1.0,6081000.0
1443,104,3.0,0,0.0,1.0,1.0,1.0,1.0,7891000.0
1109,104,2.0,0,0.0,1.0,1.0,1.0,1.0,6070000.0
1089,104,2.0,0,0.0,1.0,1.0,1.0,1.0,5961000.0
